model,details,target,split,r2,mse,mae,dist_avg,dist_r2,sqdist_avg,sqdist_r2
Lasso Feats2,"alpha=1.0 | feats 12,22",topleft,train,0.36447380191471446,0.03734860569238663,0.1434309184551239,0.22339093685150146,0.25133001804351807,0.07469724118709564,0.3655968904495239
Lasso Feats2,"alpha=1.0 | feats 12,22",center,train,0.4845027752197139,0.006504498887807131,0.06768465042114258,0.10277227312326431,0.28729474544525146,0.013009000569581985,0.4844052791595459
Lasso Feats2,"alpha=1.0 | feats 12,22",topleft,valid,0.385444844738457,0.035222116857767105,0.1365620344877243,0.21519315242767334,0.25740480422973633,0.07044423371553421,0.3850153088569641
Lasso Feats2,"alpha=1.0 | feats 12,22",center,valid,0.4746631124906361,0.006578581873327494,0.06896646320819855,0.10468434542417526,0.27182310819625854,0.01315716840326786,0.4767146110534668
LR Feats2,"feats 12,22",topleft,train,0.9999999999999999,6.690609439194843e-18,1.1224979973301075e-10,2.244995994660215e-10,0.9999999992476145,1.3381218878389686e-17,0.9999999999999999
LR Feats2,"feats 12,22",center,train,0.9929272019196904,8.911899203667417e-05,0.005406240466982126,0.008682943880558014,0.9397855140268803,0.00017823798407334834,0.9929357706569135
LR Feats2,"feats 12,22",topleft,valid,1.0,0.0,0.0,0.0,1.0,0.0,1.0
LR Feats2,"feats 12,22",center,valid,0.9904219252027318,0.00011861716484418139,0.006249477155506611,0.010285228490829468,0.9284566789865494,0.00023723440244793892,0.9905647411942482
Ridge Feats2,"feats 12,22",topleft,train,0.9975734314897954,0.00014068167365621775,0.0075097051449120045,0.012034106999635696,0.9596690237522125,0.0002813634055200964,0.9976103825028986
Ridge Feats2,"feats 12,22",center,train,0.9858988088277995,0.000177683265064843,0.010044441558420658,0.015979984775185585,0.8891820013523102,0.00035536655923351645,0.9859155109152198
Ridge Feats2,"feats 12,22",topleft,valid,0.9979378484670467,0.0001188097958220169,0.007239132653921843,0.01149654109030962,0.9603273794054985,0.00023761960619594902,0.9979255585931242
Ridge Feats2,"feats 12,22",center,valid,0.9821122707479324,0.0002229860983788967,0.01112530566751957,0.01754455268383026,0.8779613375663757,0.00044597225496545434,0.9822628442198038
RF Feats2,"feats 12,22",topleft,train,0.999913174940565,5.518562829820439e-06,0.00025087481481023133,0.000500446418300271,0.9983228092314675,1.1037124750146177e-05,0.9999062617789605
RF Feats2,"feats 12,22",center,train,0.9984906975144795,1.9032240743399598e-05,0.0016101713990792632,0.00297032343223691,0.9794013984501362,3.806449240073562e-05,0.9984913635998964
RF Feats2,"feats 12,22",topleft,valid,0.9997369983954756,1.579051786393393e-05,0.0003731953911483288,0.0007463907822966576,0.9974243314936757,3.158103572786786e-05,0.9997242946119513
RF Feats2,"feats 12,22",center,valid,0.9890418491499064,0.0001359450543532148,0.00452447822317481,0.0083647221326828,0.941815584897995,0.0002718901669140905,0.9891864154487848
