,model,details,target,split,mse,mae,r2,dist_avg,dist_r2,sqdist_avg,sqdist_r2
0,FeatsNet1.11,"feats=pix,pts11",topleft,valid,0.017785705626010895,0.09047440439462662,0.36022805927359,0.14835870265960693,0.31327658891677856,0.03557141125202179,0.4434082508087158
1,FeatsNet1.11,"feats=pix,pts11",topleft,train,0.010061142966151237,0.07328101992607117,0.5894779411805584,0.11753525584936142,0.5002604722976685,0.020122287794947624,0.7351037263870239
2,FeatsNet1.12,"feats=pix,pts12",topleft,valid,0.015510165132582188,0.08358409255743027,0.5204153903367694,0.139054536819458,0.35634374618530273,0.031020333990454674,0.5146196782588959
3,FeatsNet1.12,"feats=pix,pts12",topleft,train,0.00761407008394599,0.06199464201927185,0.756916388836502,0.10087733715772629,0.5710870623588562,0.015228147618472576,0.7995317727327347
4,FeatsNet1.22,"feats=pix,pts22",topleft,valid,0.014067720621824265,0.079283207654953,0.5685152891721469,0.13093353807926178,0.3939342498779297,0.02813543938100338,0.5597600936889648
5,FeatsNet1.22,"feats=pix,pts22",topleft,train,0.0067026508040726185,0.059020206332206726,0.7862180812092828,0.09596765786409378,0.5919621884822845,0.013405299745500088,0.8235283344984055
6,FeatsNet1.11,"feats=,pts11",topleft,valid,0.0329158715903759,0.1376507431268692,-0.11797876998117474,0.2213534414768219,-0.02460181713104248,0.0658317506313324,-0.030080437660217285
7,FeatsNet1.11,"feats=,pts11",topleft,train,0.03863650560379028,0.14724236726760864,-0.09186833038895414,0.23863853514194489,-0.014649629592895508,0.07727298140525818,-0.017246365547180176
8,FeatsNet1.12,"feats=,pts12",topleft,valid,0.020961793139576912,0.11039764434099197,0.16376214174542636,0.1754097193479538,0.18806272745132446,0.041923582553863525,0.3440147042274475
9,FeatsNet1.12,"feats=,pts12",topleft,train,0.02122928574681282,0.11119744181632996,0.21181085311680908,0.1764017939567566,0.24997013807296753,0.042458582669496536,0.4410616159439087
10,FeatsNet1.22,"feats=,pts22",topleft,valid,0.016908057034015656,0.09673553705215454,0.36550702372594157,0.15639528632164001,0.2760767936706543,0.033816125243902206,0.47087347507476807
11,FeatsNet1.22,"feats=,pts22",topleft,train,0.01762567088007927,0.09868025779724121,0.38307978522883185,0.15865978598594666,0.32540613412857056,0.03525134548544884,0.5359399616718292
12,FeatsNet1.11,"feats=pix,pts11",center,valid,0.0016185914864763618,0.02895883470773697,0.6576679944126812,0.046623650938272476,0.5369876325130463,0.003237183205783367,0.7389542758464813
13,FeatsNet1.11,"feats=pix,pts11",center,train,0.000827847863547504,0.02169620245695114,0.8437529568243594,0.03486907482147217,0.6660832166671753,0.001655695727095008,0.8743166476488113
14,FeatsNet1.12,"feats=pix,pts12",center,valid,0.0014385496033355594,0.027463965117931366,0.7014817276387006,0.044068533927202225,0.5623621642589569,0.002877098973840475,0.767991378903389
15,FeatsNet1.12,"feats=pix,pts12",center,train,0.0006437547272071242,0.019389696419239044,0.8816921763895491,0.03080568090081215,0.7049955129623413,0.001287509105168283,0.9022655785083771
16,FeatsNet1.22,"feats=pix,pts22",center,valid,0.001542771584354341,0.028703387826681137,0.68230114838708,0.045672547072172165,0.5464329123497009,0.0030855427030473948,0.7511825412511826
17,FeatsNet1.22,"feats=pix,pts22",center,train,0.0007206338341347873,0.020404575392603874,0.8665147248926883,0.03251328691840172,0.6886429786682129,0.0014412679011002183,0.8905937969684601
18,FeatsNet1.11,"feats=,pts11",center,valid,0.0050113629549741745,0.058982133865356445,0.14980410375442554,0.09084456413984299,0.09783649444580078,0.010022725909948349,0.19176965951919556
19,FeatsNet1.11,"feats=,pts11",center,train,0.0050602322444319725,0.06015602871775627,0.2066444495273127,0.09158453345298767,0.12295889854431152,0.01012046355754137,0.23175877332687378
20,FeatsNet1.12,"feats=,pts12",center,valid,0.002430528402328491,0.038563959300518036,0.5436870228140962,0.060137491673231125,0.4027838110923767,0.004861056804656982,0.6080054640769958
21,FeatsNet1.12,"feats=,pts12",center,train,0.0025000479072332382,0.03987491875886917,0.5639353129581137,0.06255022436380386,0.4010002017021179,0.005000096745789051,0.6204441785812378
22,FeatsNet1.22,"feats=,pts22",center,valid,0.003555835923179984,0.04831300675868988,0.35775800337018426,0.07511653006076813,0.2540292739868164,0.007111670449376106,0.4265165328979492
23,FeatsNet1.22,"feats=,pts22",center,train,0.003978818655014038,0.052142076194286346,0.3500851867011906,0.08010473102331161,0.2328929305076599,0.00795763824135065,0.3959381580352783
