model,details,target,x_cols,y_norm,x_norm,epochs,split,mse,mae,r2,dist_avg,dist_r2,sqdist_avg,sqdist_r2
fastTab1.2,x=restrict y_norm=True x_norm=True epochs=10 ,topleft,restrict,True,True,10,valid,0.00027454382507130504,0.010505987331271172,0.9952431666262554,0.018657060340046883,0.9208530411124229,0.0005490877665579319,0.9927772730588913
fastTab1.2,x=restrict y_norm=True x_norm=True epochs=10 ,topleft,restrict,True,True,10,train,0.0002759484341368079,0.01081791054457426,0.9949293244148256,0.019155267626047134,0.9166862890124321,0.000551896751858294,0.9924223353154957
fastTab1.2,x=restrict y_norm=True x_norm=True epochs=10 ,center,restrict,True,True,10,valid,0.0023124152794480324,0.03043864667415619,0.45252535460442544,0.054959800094366074,0.4506610035896301,0.0046248300932347775,0.6183996498584747
fastTab1.2,x=restrict y_norm=True x_norm=True epochs=10 ,center,restrict,True,True,10,train,0.0022652451880276203,0.030086999759078026,0.546357612889374,0.05276491120457649,0.49656611680984497,0.004530490841716528,0.6580422520637512
fastTab1.2,x=pts y_norm=True x_norm=True epochs=10 ,topleft,pts,True,True,10,valid,0.000284570298390463,0.011043955571949482,0.9931597630037367,0.01867891289293766,0.9217407256364822,0.0005691408296115696,0.9927299506962299
fastTab1.2,x=pts y_norm=True x_norm=True epochs=10 ,topleft,pts,True,True,10,train,0.00014315485896077007,0.008429888635873795,0.9962728486509751,0.014076308347284794,0.9386687837541103,0.00028630977612920105,0.9960432560183108
fastTab1.2,x=pts y_norm=True x_norm=True epochs=10 ,center,pts,True,True,10,valid,0.0001485624088672921,0.008947224356234074,0.9669205975382813,0.01474098302423954,0.8518732041120529,0.00029712484683841467,0.9753123968839645
fastTab1.2,x=pts y_norm=True x_norm=True epochs=10 ,center,pts,True,True,10,train,9.292300092056394e-05,0.007209759205579758,0.982626751468323,0.011701985262334347,0.8882719501852989,0.00018584597273729742,0.9859989639371634
fastTab1.2,x=all y_norm=True x_norm=True epochs=10 ,topleft,all,True,True,10,valid,3.92030046249812e+17,73536320.0,-9.31811047799808e+18,128347768.0,-566359551.0,7.840600237801472e+17,-1.1285896421376524e+19
fastTab1.2,x=all y_norm=True x_norm=True epochs=10 ,topleft,all,True,True,10,train,0.002133813453838229,0.022345172241330147,0.9221467778089014,0.038377441465854645,0.8347518593072891,0.004267626442015171,0.9427285343408585
fastTab1.2,x=all y_norm=True x_norm=True epochs=10 ,center,all,True,True,10,valid,6.805002533753324e+17,98177920.0,-1.1367345458024776e+20,151251568.0,-1430922367.0,1.3610005067506647e+18,-1.017219779506733e+20
fastTab1.2,x=all y_norm=True x_norm=True epochs=10 ,center,all,True,True,10,train,0.0008824359392747283,0.01079275831580162,0.8173642894918651,0.01727657951414585,0.8326800465583801,0.0017648721113801003,0.8637189418077469
fastTab1.2,x=restrict y_norm=True x_norm=False epochs=10 ,topleft,restrict,True,False,10,valid,9.480150765739381e-05,0.007681847549974918,0.9944551716302734,0.012311676517128944,0.9460206888616085,0.0001896030007628724,0.9974119667895138
fastTab1.2,x=restrict y_norm=True x_norm=False epochs=10 ,topleft,restrict,True,False,10,train,9.424365998711437e-05,0.0077658891677856445,0.9954847785302792,0.012263421900570393,0.946986973285675,0.0001884872472146526,0.9974353900179267
fastTab1.2,x=restrict y_norm=True x_norm=False epochs=10 ,center,restrict,True,False,10,valid,0.0019952692091464996,0.029387764632701874,0.4954006243218577,0.051534444093704224,0.4741033911705017,0.003990538418292999,0.6540945470333099
fastTab1.2,x=restrict y_norm=True x_norm=False epochs=10 ,center,restrict,True,False,10,train,0.002373388735577464,0.03163827583193779,0.5360375851502284,0.05456031858921051,0.48168426752090454,0.004746778402477503,0.6462885439395905
fastTab1.2,x=pts y_norm=True x_norm=False epochs=10 ,topleft,pts,True,False,10,valid,0.0004527960263658315,0.014628567732870579,0.9888632374706221,0.024343689903616905,0.9081386253237724,0.0009055922855623066,0.9903028830885887
fastTab1.2,x=pts y_norm=True x_norm=False epochs=10 ,topleft,pts,True,False,10,train,0.0002922257117461413,0.01237543486058712,0.9920991999897435,0.020711133256554604,0.9071311727166176,0.0005844513652846217,0.9914811151102185
fastTab1.2,x=pts y_norm=True x_norm=False epochs=10 ,center,pts,True,False,10,valid,0.0001518384669907391,0.00887618400156498,0.9724286595630753,0.014384429901838303,0.8683117479085922,0.0003036770212929696,0.9781415164470673
fastTab1.2,x=pts y_norm=True x_norm=False epochs=10 ,center,pts,True,False,10,train,0.00010283348092343658,0.007461920380592346,0.9804335204316628,0.012001381255686283,0.8828505873680115,0.00020566696184687316,0.9839361011981964
fastTab1.2,x=all y_norm=True x_norm=False epochs=10 ,topleft,all,True,False,10,valid,1951.08837890625,5.02496862411499,-34064.749988171614,8.874018669128418,-35.813682556152344,3902.1767578125,-50461.0234375
fastTab1.2,x=all y_norm=True x_norm=False epochs=10 ,topleft,all,True,False,10,train,0.004815374035388231,0.023338617756962776,0.8321557944463939,0.03845449909567833,0.8320457488298416,0.009630747139453888,0.8675140142440796
fastTab1.2,x=all y_norm=True x_norm=False epochs=10 ,center,all,True,False,10,valid,15293.1083984375,18.043977737426758,-2218183.067778512,26.584613800048828,-254.50973510742188,30586.216796875,-2297400.25
fastTab1.2,x=all y_norm=True x_norm=False epochs=10 ,center,all,True,False,10,train,0.0004339748411439359,0.01043382752686739,0.9164792153098623,0.016582006588578224,0.8401262611150742,0.0008679496822878718,0.933110311627388
fastTab1.2,x=restrict y_norm=False x_norm=True epochs=10 ,topleft,restrict,False,True,10,valid,0.0018957327120006084,0.03108365088701248,0.9374043617395623,0.051842931658029556,0.7654339373111725,0.0037914644926786423,0.9402172602713108
fastTab1.2,x=restrict y_norm=False x_norm=True epochs=10 ,topleft,restrict,False,True,10,train,0.0018729839939624071,0.03080049157142639,0.9392449887315544,0.05136881023645401,0.7804505974054337,0.0037459663581103086,0.9507952965795994
fastTab1.2,x=restrict y_norm=False x_norm=True epochs=10 ,center,restrict,False,True,10,valid,0.002381478436291218,0.032082654535770416,0.4653128968548587,0.05452344939112663,0.47224366664886475,0.004762955475598574,0.6168518960475922
fastTab1.2,x=restrict y_norm=False x_norm=True epochs=10 ,center,restrict,False,True,10,train,0.002698069205507636,0.03451637178659439,0.4708548894401354,0.05880594998598099,0.43387335538864136,0.005396139342337847,0.5903383493423462
fastTab1.2,x=pts y_norm=False x_norm=True epochs=10 ,topleft,pts,False,True,10,valid,0.0029060866218060255,0.0417494997382164,0.8148875115446441,0.065519779920578,0.7115167677402496,0.005812172777950764,0.9212993606925011
fastTab1.2,x=pts y_norm=False x_norm=True epochs=10 ,topleft,pts,False,True,10,train,0.0016005774959921837,0.03173346817493439,0.9198245438437966,0.050328876823186874,0.7834524214267731,0.0032011547591537237,0.9564482383430004
fastTab1.2,x=pts y_norm=False x_norm=True epochs=10 ,center,pts,False,True,10,valid,0.002090489724650979,0.03310710936784744,0.6682729697377099,0.05312960967421532,0.5111471712589264,0.004180978983640671,0.7042994499206543
fastTab1.2,x=pts y_norm=False x_norm=True epochs=10 ,center,pts,False,True,10,train,0.0013352595269680023,0.02792183682322502,0.7358154903562755,0.04414866119623184,0.5693689286708832,0.002670519519597292,0.790728360414505
