epoch,train_loss,valid_loss,time
0,229732240.0,225022800.0,00:05
1,231235632.0,225052688.0,00:05
2,231533232.0,225067200.0,00:05
3,230738944.0,225061280.0,00:05
4,230814176.0,225030368.0,00:05
5,231109856.0,224998240.0,00:05
6,231125600.0,224944800.0,00:05
7,230754768.0,224895792.0,00:05
8,230249792.0,224841072.0,00:05
9,231203312.0,224818336.0,00:05
10,230516896.0,224790512.0,00:05
11,230569264.0,224739040.0,00:05
12,230801248.0,224718720.0,00:05
13,231171728.0,224729120.0,00:05
14,231399232.0,224674032.0,00:05
15,231649040.0,224598880.0,00:05
16,231127856.0,224527376.0,00:05
17,231089456.0,224499872.0,00:05
18,231367632.0,224472432.0,00:05
19,231027712.0,224377744.0,00:05
20,230994768.0,224286080.0,00:04
21,231017088.0,224185056.0,00:05
22,231527888.0,224223456.0,00:05
23,231566512.0,224186560.0,00:05
24,231083360.0,224097392.0,00:05
25,230418048.0,223984544.0,00:05
26,230970112.0,224004320.0,00:05
27,230338256.0,223903072.0,00:05
28,230700960.0,223864816.0,00:05
29,230579456.0,223716448.0,00:05
30,230546464.0,223517584.0,00:05
31,231020736.0,223505632.0,00:05
32,231314864.0,223513024.0,00:05
33,230877712.0,223497280.0,00:05
34,230815552.0,223383056.0,00:05
35,230412320.0,223242912.0,00:05
36,230713952.0,223291312.0,00:05
37,231224208.0,223225504.0,00:05
38,231248624.0,223026192.0,00:05
39,231579392.0,222876384.0,00:05
40,231413328.0,222675440.0,00:05
41,230843200.0,222565568.0,00:05
42,230557424.0,222726752.0,00:05
43,230635936.0,222717568.0,00:05
44,230326160.0,222634336.0,00:05
45,230052128.0,222386880.0,00:05
46,230130800.0,222269984.0,00:05
47,229374432.0,222028208.0,00:05
48,229766192.0,222098208.0,00:05
49,229733904.0,221991888.0,00:05
